Code,Category,Description,Demand,Price,Service Time,Operational Expense,Number of Dentist,Demand per Day,Relative Prob,,,,,,,,,
11,Diagnostic services,,1548,64.68249354,30.00,38.80949612,3,1.495652174,3.86%,,,,,,,,,
12,Diagnostic services,,2286,60.53022747,15.00,36.31813648,3,2.208695652,5.70%,,,,,,,,,
13,Diagnostic services,,1050,51.48167619,15.00,30.88900571,3,1.014492754,2.62%,,,,,,,,,
14,Diagnostic services,,131,70.08015267,15.00,42.0480916,3,0.1265700483,0.33%,,,,,,,,Note,Description
22,Diagnostic services,,8716,48.08559316,15.00,28.8513559,3,8.421256039,21.74%,,,,,,480,,Working Hour,can be more than 8 hours
24,Diagnostic services,,31,28.55258065,17.37,17.13154839,3,0.02995169082,0.08%,,,,,,20,,No. of Dentist,
37,Diagnostic services,,456,91.70975877,15.00,55.02585526,3,0.4405797101,1.14%,,,,,,,,Dentist Level,
61,Diagnostic services,,39,20.67692308,10.00,12.40615385,3,0.03768115942,0.10%,,,,,,,,,
71,Diagnostic services,,70,74.28657143,30.00,44.57194286,3,0.06763285024,0.17%,,,,,,,,,
72,Diagnostic services,,1158,41.50647668,10.00,24.90388601,3,1.11884058,2.89%,,,,,,,,,
73,Diagnostic services,,22,47.66363636,10.00,28.59818182,3,0.02125603865,0.05%,,,,,,,,,
74,Diagnostic services,,10,212.08,15.00,127.248,3,0.009661835749,0.02%,,,,,,,,,
82,Diagnostic services,,1,85,15.00,51,3,0.0009661835749,0.00%,,,,,,,,,
88011,Diagnostic services,,311,53.57990354,30.00,32.14794212,3,0.3004830918,0.78%,,,,,,,,,
88012,Diagnostic services,,334,44.61062874,15.00,26.76637725,3,0.322705314,0.83%,,,,,,,,,
88013,Diagnostic services,,106,28.00188679,15.00,16.80113208,3,0.1024154589,0.26%,,,,,,,,,
88022,Diagnostic services,,567,30.96499118,15.00,18.57899471,3,0.547826087,1.41%,,,,,,,,,
CC,Diagnostic services,,30,60,17.37,36,3,0.02898550725,0.07%,,,,,,,,,
111,"Preventive, prophylactic and bleaching services",,6,60,15.00,36,3,0.005797101449,0.01%,,,,,,,,,
113,"Preventive, prophylactic and bleaching services",,251,18.46414343,15.00,11.07848606,3,0.2425120773,0.63%,,,,,,,,,
114,"Preventive, prophylactic and bleaching services",,4091,127.173933,40.00,76.30435981,3,3.952657005,10.21%,,,,,,,,,
115,"Preventive, prophylactic and bleaching services",,135,122.6718519,20.00,73.60311111,3,0.1304347826,0.34%,,,,,,,,,
116,"Preventive, prophylactic and bleaching services",,3,78,10.00,46.8,3,0.002898550725,0.01%,,,,,,,,,
117,"Preventive, prophylactic and bleaching services",,1,256,15.00,153.6,3,0.0009661835749,0.00%,,,,,,,,,
118,"Preventive, prophylactic and bleaching services",,737,65.66227951,3.00,39.39736771,3,0.7120772947,1.84%,,,,,,,,,
119,"Preventive, prophylactic and bleaching services",,228,102.7664474,15.00,61.65986842,3,0.2202898551,0.57%,,,,,,,,,
121,"Preventive, prophylactic and bleaching services",,4021,41.12606317,30.00,24.6756379,3,3.885024155,10.03%,,,,,,,,,
123,"Preventive, prophylactic and bleaching services",,18,35.05555556,10.00,21.03333333,3,0.01739130435,0.04%,,,,,,,,,
141,"Preventive, prophylactic and bleaching services",,4,52.4625,15.00,31.4775,3,0.0038647343,0.01%,,,,,,,,,
151,"Preventive, prophylactic and bleaching services",,34,189.4411765,15.00,113.6647059,3,0.03285024155,0.08%,,,,,,,,,
161,"Preventive, prophylactic and bleaching services",,117,61.67478632,15.00,37.00487179,3,0.1130434783,0.29%,,,,,,,,,
171,"Preventive, prophylactic and bleaching services",,67,21.25223881,5.00,12.75134328,3,0.06473429952,0.17%,,,,,,,,,
88111,"Preventive, prophylactic and bleaching services",,9,54.96666667,15.00,32.98,3,0.008695652174,0.02%,,,,,,,,,
88114,"Preventive, prophylactic and bleaching services",,511,91.33356164,40.00,54.80013699,3,0.4937198068,1.27%,,,,,,,,,
