Code,Provider,Demand
927,NOTE,118
11,NOTE,29
9999,NOTE,2
D9986,NOTE,7
11,RE,447
12,RE,634
13,RE,196
14,RE,29
18,RE,2
22,RE,2017
37,RE,70
61,RE,12
71,RE,2
72,RE,180
73,RE,3
74,RE,2
88011,RE,59
88012,RE,80
88013,RE,18
88022,RE,103
Add LA,RE,2
InvisR,RE,10
111,RE,1
113,RE,94
114,RE,1027
115,RE,27
118,RE,72
119,RE,33
121,RE,1014
123,RE,1
151,RE,8
161,RE,39
171,RE,23
88111,RE,4
88114,RE,105
88115,RE,2
88121,RE,115
88161,RE,11
88162,RE,1
213,RE,1
221,RE,81
222,RE,178
231,RE,20
245,RE,1
250,RE,52
311,RE,138
314,RE,17
322,RE,7
323,RE,5
324,RE,19
391,RE,1
88311,RE,6
88314,RE,1
411,RE,1
415,RE,10
416,RE,11
417,RE,7
418,RE,8
419,RE,6
451,RE,1
455,RE,3
521,RE,28
522,RE,12
523,RE,58
524,RE,64
525,RE,28
526,RE,8
531,RE,55
532,RE,307
533,RE,216
534,RE,130
535,RE,52
556,RE,3
572,RE,4
577,RE,287
578,RE,50
88521,RE,2
88523,RE,1
88524,RE,2
88531,RE,7
88532,RE,40
88533,RE,15
88534,RE,2
88535,RE,2
613,RE,73
627,RE,50
632,RE,2
643,RE,3
655,RE,6
658,RE,1
711,RE,2
712,RE,1
722,RE,1
727,RE,2
731,RE,9
732,RE,1
733,RE,16
741,RE,1
743,RE,3
744,RE,1
811,RE,44
825,RE,39
845,RE,4
873,RE,1
874,RE,4
88943,RE,5
926,RE,28
927,RE,2
943,RE,19
965,RE,7
966,RE,3
11,RE,56
990,RE,6
9999,RE,166
Cem,RE,64
D9986,RE,249
Script,RE,1
11,BEC,4
12,BEC,3
22,BEC,24
72,BEC,2
114,BEC,7
115,BEC,1
121,BEC,7
523,BEC,1
531,BEC,1
532,BEC,2
533,BEC,3
534,BEC,1
577,BEC,1
811,BEC,2
9999,BEC,2
11,CQ,197
12,CQ,201
13,CQ,163
14,CQ,3
15,CQ,1
19,CQ,1
22,CQ,873
24,CQ,24
37,CQ,56
61,CQ,2
71,CQ,2
72,CQ,98
73,CQ,3
74,CQ,2
88011,CQ,27
88012,CQ,35
88013,CQ,6
88022,CQ,50
Add LA,CQ,4
113,CQ,2
114,CQ,386
115,CQ,27
118,CQ,87
119,CQ,18
121,CQ,392
151,CQ,2
161,CQ,22
171,CQ,3
88114,CQ,54
88121,CQ,53
88161,CQ,32
213,CQ,2
221,CQ,26
222,CQ,54
231,CQ,4
250,CQ,44
311,CQ,82
314,CQ,12
322,CQ,20
323,CQ,1
324,CQ,15
88311,CQ,4
88314,CQ,1
411,CQ,2
415,CQ,11
416,CQ,11
417,CQ,7
418,CQ,7
419,CQ,16
455,CQ,2
521,CQ,17
522,CQ,29
523,CQ,21
524,CQ,31
525,CQ,47
531,CQ,143
532,CQ,165
533,CQ,135
534,CQ,97
535,CQ,40
556,CQ,2
572,CQ,5
577,CQ,32
578,CQ,9
88521,CQ,2
88522,CQ,1
88524,CQ,1
88531,CQ,16
88532,CQ,17
88533,CQ,14
88534,CQ,4
613,CQ,21
627,CQ,25
643,CQ,1
711,CQ,2
721,CQ,2
722,CQ,1
731,CQ,4
733,CQ,16
768,CQ,3
811,CQ,3
825,CQ,6
873,CQ,2
874,CQ,3
926,CQ,18
943,CQ,14
965,CQ,21
966,CQ,2
11,CQ,16
9999,CQ,66
D9986,CQ,116
Script,CQ,28
74,DA,1
CC,DA,18
Dr Invis Cons,DA,1
FIC,DA,2
811,DA,3
965,DA,3
9999,DA,41
D9986,DA,8
11,WS,152
12,WS,89
13,WS,124
14,WS,6
22,WS,617
24,WS,4
37,WS,16
72,WS,104
88011,WS,23
88012,WS,10
88013,WS,3
88022,WS,40
CC,WS,3
113,WS,7
114,WS,239
115,WS,8
118,WS,22
119,WS,14
121,WS,222
123,WS,1
151,WS,1
161,WS,17
88111,WS,2
88114,WS,20
88121,WS,20
88161,WS,15
88162,WS,2
213,WS,4
221,WS,1
222,WS,28
231,WS,1
250,WS,2
281,WS,1
311,WS,74
314,WS,10
322,WS,4
88311,WS,8
88316,WS,1
415,WS,10
416,WS,14
417,WS,10
418,WS,14
419,WS,11
521,WS,13
522,WS,24
523,WS,13
524,WS,9
525,WS,2
526,WS,2
531,WS,101
532,WS,95
533,WS,60
534,WS,36
535,WS,9
572,WS,9
574,WS,1
577,WS,30
578,WS,2
88525,WS,1
88531,WS,7
88532,WS,4
88533,WS,2
613,WS,18
618,WS,1
627,WS,8
727,WS,4
728,WS,1
731,WS,17
732,WS,17
733,WS,24
741,WS,1
743,WS,1
811,WS,3
825,WS,9
841,WS,1
845,WS,1
88943,WS,2
926,WS,14
927,WS,1
943,WS,16
965,WS,14
11,WS,3
9999,WS,59
Cem,WS,18
D9986,WS,90
Insert,WS,12
Spl Ins,WS,2
