Code,Provider,Demand
011,BEC,4
011,CQ,240
011,NOTE,29
011,RE,562
011,WS,178
012,BEC,3
012,CQ,236
012,RE,714
012,WS,99
013,CQ,169
013,RE,214
013,WS,127
014,CQ,3
014,RE,29
014,WS,6
015,CQ,1
018,RE,2
019,CQ,1
022,BEC,24
022,CQ,923
022,RE,2120
022,WS,657
024,CQ,24
024,WS,4
037,CQ,56
037,RE,70
037,WS,16
061,CQ,2
061,RE,12
071,CQ,2
071,RE,2
072,BEC,2
072,CQ,98
072,RE,180
072,WS,104
073,CQ,3
073,RE,3
074,CQ,2
074,DA,1
074,RE,2
111,RE,5
111,WS,2
113,CQ,2
113,RE,94
113,WS,7
114,BEC,7
114,CQ,440
114,RE,1132
114,WS,259
115,BEC,1
115,CQ,27
115,RE,29
115,WS,8
118,CQ,87
118,RE,72
118,WS,22
119,CQ,18
119,RE,33
119,WS,14
121,BEC,7
121,CQ,445
121,RE,1129
121,WS,242
123,RE,1
123,WS,1
151,CQ,2
151,RE,8
151,WS,1
161,CQ,54
161,RE,50
161,WS,32
162,RE,1
162,WS,2
171,CQ,3
171,RE,23
213,CQ,2
213,RE,1
213,WS,4
221,CQ,26
221,RE,81
221,WS,1
222,CQ,54
222,RE,178
222,WS,28
231,CQ,4
231,RE,20
231,WS,1
245,RE,1
250,CQ,44
250,RE,52
250,WS,2
281,WS,1
311,CQ,86
311,RE,144
311,WS,82
314,CQ,13
314,RE,18
314,WS,10
316,WS,1
322,CQ,20
322,RE,7
322,WS,4
323,CQ,1
323,RE,5
324,CQ,15
324,RE,19
391,RE,1
411,CQ,2
411,RE,1
415,CQ,11
415,RE,10
415,WS,10
416,CQ,11
416,RE,11
416,WS,14
417,CQ,7
417,RE,7
417,WS,10
418,CQ,7
418,RE,8
418,WS,14
419,CQ,16
419,RE,6
419,WS,11
451,RE,1
455,CQ,2
455,RE,3
521,CQ,19
521,RE,30
521,WS,13
522,CQ,30
522,RE,12
522,WS,24
523,BEC,1
523,CQ,21
523,RE,59
523,WS,13
524,CQ,32
524,RE,66
524,WS,9
525,CQ,47
525,RE,28
525,WS,3
526,RE,8
526,WS,2
531,BEC,1
531,CQ,159
531,RE,62
531,WS,108
532,BEC,2
532,CQ,182
532,RE,347
532,WS,99
533,BEC,3
533,CQ,149
533,RE,231
533,WS,62
534,BEC,1
534,CQ,101
534,RE,132
534,WS,36
535,CQ,40
535,RE,54
535,WS,9
556,CQ,2
556,RE,3
572,CQ,5
572,RE,4
572,WS,9
574,WS,1
577,BEC,1
577,CQ,32
577,RE,287
577,WS,30
578,CQ,9
578,RE,50
578,WS,2
613,CQ,21
613,RE,73
613,WS,18
618,WS,1
627,CQ,25
627,RE,50
627,WS,8
632,RE,2
643,CQ,1
643,RE,3
655,RE,6
658,RE,1
711,CQ,2
711,RE,2
712,RE,1
721,CQ,2
722,CQ,1
722,RE,1
727,RE,2
727,WS,4
728,WS,1
731,CQ,4
731,RE,9
731,WS,17
732,RE,1
732,WS,17
733,CQ,16
733,RE,16
733,WS,24
741,RE,1
741,WS,1
743,RE,3
743,WS,1
744,RE,1
768,CQ,3
811,BEC,2
811,CQ,3
811,DA,3
811,RE,44
811,WS,3
825,CQ,6
825,RE,39
825,WS,9
841,WS,1
845,RE,4
845,WS,1
873,CQ,2
873,RE,1
874,CQ,3
874,RE,4
926,CQ,18
926,RE,28
926,WS,14
927,NOTE,118
927,RE,2
927,WS,1
943,CQ,14
943,RE,24
943,WS,18
965,CQ,21
965,DA,3
965,RE,7
965,WS,14
966,CQ,2
966,RE,3
986,CQ,116
986,DA,8
986,NOTE,7
986,RE,249
986,WS,90
990,RE,6
999,BEC,2
999,CQ,66
999,DA,41
999,NOTE,2
999,RE,166
999,WS,59
