item_number,duration,price,cost_material
011,30.0,49.0,15
012,15.0,33.0,10
013,15.0,30.0,9
014,15.0,34.0,10
015,30.0,83.0,25
016,15.0,37.0,11
017,30.0,103.0,31
018,15.0,17.0,5
019,15.0,12.0,4
022,15.0,6.0,2
025,30.0,32.0,10
026,30.0,43.0,13
031,30.0,22.0,7
033,30.0,24.0,7
035,30.0,22.0,7
036,30.0,24.0,7
037,5.0,27.0,8
038,30.0,26.0,8
039,60.0,78.0,23
041,60.0,0.0,0
042,60.0,0.0,0
043,60.0,0.0,0
044,30.0,0.0,0
047,30.0,61.0,18
048,30.0,100.0,30
051,60.0,0.0,0
052,60.0,0.0,0
053,60.0,0.0,0
054,60.0,0.0,0
055,30.0,0.0,0
056,60.0,0.0,0
059,60.0,0.0,0
061,30.0,28.0,8
071,10.0,33.0,10
072,15.0,29.0,9
073,30.0,28.0,8
074,30.0,107.0,32
075,30.0,46.0,14
081,45.0,38.0,11
082,15.0,43.0,13
083,60.0,0.0,0
085,30.0,0.0,0
086,60.0,0.0,0
087,60.0,0.0,0
088,60.0,0.0,0
089,60.0,0.0,0
090,30.0,0.0,0
091,30.0,0.0,0
111,15.0,84.0,25
113,15.0,86.0,26
114,30.0,83.0,25
115,15.0,76.0,23
116,15.0,40.0,12
117,15.0,80.0,24
118,3.0,56.0,17
119,15.0,197.0,59
121,5.0,29.0,9
122,30.0,66.0,20
123,5.0,70.0,21
131,15.0,26.0,8
141,15.0,14.0,4
142,15.0,11.0,3
151,15.0,169.0,51
153,15.0,22.0,7
161,15.0,24.0,7
165,15.0,70.0,21
171,5.0,58.0,17
213,30.0,84.0,25
221,15.0,45.0,14
222,5.0,44.0,13
223,30.0,567.0,170
231,15.0,74.0,22
232,15.0,142.0,43
233,30.0,1437.0,431
234,45.0,32.0,10
235,45.0,117.0,35
236,60.0,549.0,165
237,60.0,90.0,27
238,30.0,231.0,69
241,15.0,259.0,78
242,30.0,56.0,17
243,10.0,402.0,121
244,60.0,400.0,120
245,30.0,119.0,36
246,45.0,499.0,150
247,120.0,256.0,77
250,60.0,114.0,34
251,30.0,112.0,34
311,30.0,89.0,27
314,45.0,143.0,43
322,30.0,199.0,60
323,45.0,298.0,89
