No,AU Time (Min),Offer Gaia Price AUD,Cost Material AUD,Offer Gaia Price IDR,Cost Material IDR
11,0:30:00,49.0,15,160000,48000
12,0:15:00,33.0,10,140000,42000
13,0:15:00,30.0,9,110000,33000
14,0:15:00,34.0,10,100000,30000
15,0:30:00,83.0,25,260000,78000
16,0:15:00,37.0,11,120000,36000
17,0:30:00,103.0,31,300000,90000
18,0:15:00,17.0,5,60000,18000
19,0:15:00,12.0,4,50000,15000
22,0:15:00,6.0,2,30000,9000
25,0:30:00,32.0,10,110000,33000
26,0:30:00,43.0,13,150000,45000
31,0:30:00,22.0,7,100000,30000
33,0:30:00,24.0,7,110000,33000
35,0:30:00,22.0,7,100000,30000
36,0:30:00,24.0,7,120000,36000
37,0:05:00,27.0,8,90000,27000
38,0:30:00,26.0,8,84000,25200
39,1:00:00,78.0,23,250000,75000
41,1:00:00,0.0,0,0,0
42,1:00:00,0.0,0,0,0
43,1:00:00,0.0,0,0,0
44,0:30:00,0.0,0,0,0
47,0:30:00,61.0,18,198000,59400
48,0:30:00,100.0,30,310000,93000
51,1:00:00,0.0,0,0,0
52,1:00:00,0.0,0,0,0
53,1:00:00,0.0,0,0,0
54,1:00:00,0.0,0,0,0
55,0:30:00,0.0,0,0,0
56,1:00:00,0.0,0,0,0
59,1:00:00,0.0,0,0,0
61,0:30:00,28.0,8,90000,27000
71,0:10:00,33.0,10,100000,30000
72,0:15:00,29.0,9,100000,30000
73,0:30:00,28.0,8,90000,27000
74,0:30:00,107.0,32,350000,105000
75,0:30:00,46.0,14,170000,51000
81,0:45:00,38.0,11,120000,36000
82,0:15:00,43.0,13,120000,36000
83,1:00:00,0.0,0,0,0
85,0:30:00,0.0,0,0,0
86,1:00:00,0.0,0,0,0
87,1:00:00,0.0,0,0,0
88,1:00:00,0.0,0,0,0
89,1:00:00,0.0,0,0,0
90,0:30:00,0.0,0,0,0
91,0:30:00,0.0,0,0,0
111,0:15:00,84.0,25,260000,78000
113,0:15:00,86.0,26,280000,84000
114,0:30:00,83.0,25,260000,78000
115,0:15:00,76.0,23,250000,75000
116,0:15:00,40.0,12,150000,45000
117,0:15:00,80.0,24,260000,78000
118,0:03:00,56.0,17,220000,66000
119,0:15:00,197.0,59,660000,198000
121,0:05:00,29.0,9,120000,36000
122,0:30:00,66.0,20,200000,60000
123,0:05:00,70.0,21,210000,63000
131,0:15:00,26.0,8,90000,27000
141,0:15:00,14.0,4,60000,18000
142,0:15:00,11.0,3,60000,18000
151,0:15:00,169.0,51,530000,159000
153,0:15:00,22.0,7,80000,24000
161,0:15:00,24.0,7,90000,27000
165,0:15:00,70.0,21,230000,69000
171,0:05:00,58.0,17,198000,59400
213,0:30:00,84.0,25,260000,78000
221,0:15:00,45.0,14,140000,42000
222,0:05:00,44.0,13,170000,51000
223,0:30:00,567.0,170,1680000,504000
231,0:15:00,74.0,22,250000,75000
232,0:15:00,142.0,43,460000,138000
233,0:30:00,1437.0,431,4410000,1323000
234,0:45:00,32.0,10,100000,30000
235,0:45:00,117.0,35,340000,102000
236,1:00:00,549.0,165,1650000,495000
237,1:00:00,90.0,27,280000,84000
238,0:30:00,231.0,69,710000,213000
241,0:15:00,259.0,78,790000,237000
242,0:30:00,56.0,17,190000,57000
243,0:10:00,402.0,121,1200000,360000
244,1:00:00,400.0,120,1180000,354000
245,0:30:00,119.0,36,342000,102600
246,0:45:00,499.0,150,1580000,474000
247,2:00:00,256.0,77,948000,284400
250,1:00:00,114.0,34,351000,105300
251,0:30:00,112.0,34,324000,97200
311,0:30:00,89.0,27,270000,81000
314,0:45:00,143.0,43,50000,15000
322,0:30:00,199.0,60,590000,177000
323,0:45:00,298.0,89,940000,282000
324,1:30:00,509.0,153,1560000,468000
331,0:30:00,179.0,54,606000,181800
332,0:30:00,179.0,54,606000,181800
337,0:30:00,287.0,86,940000,282000
338,0:30:00,297.0,89,970000,291000
341,0:30:00,294.0,88,890000,267000
343,0:30:00,86.0,26,310000,93000
344,0:30:00,297.0,89,890000,267000
345,0:30:00,86.0,26,270000,81000
351,0:15:00,126.0,38,450000,135000
352,1:00:00,385.0,116,1230000,369000
353,1:00:00,506.0,152,1600000,480000
354,1:00:00,506.0,152,1600000,480000
355,1:00:00,376.0,113,1365000,409500
359,1:00:00,503.0,151,1824000,547200
361,0:15:00,23.0,7,84000,25200
363,1:00:00,226.0,68,819000,245700
365,1:00:00,132.0,40,480000,144000
366,1:00:00,132.0,40,480000,144000
371,1:00:00,297.0,89,1077000,323100
373,1:00:00,297.0,89,1077000,323100
375,1:00:00,301.0,90,1092000,327600
376,1:00:00,297.0,89,1077000,323100
377,0:30:00,297.0,89,1077000,323100
378,0:30:00,86.0,26,313500,94050
379,0:30:00,279.0,84,1011000,303300
381,0:30:00,429.0,129,1557000,467100
382,0:30:00,344.0,103,1248000,374400
384,0:15:00,84.0,25,306000,91800
385,0:15:00,91.0,27,330000,99000
386,0:30:00,118.0,35,427500,128250
387,0:30:00,91.0,27,330000,99000
388,0:30:00,212.0,64,768000,230400
389,0:30:00,301.0,90,1092000,327600
391,0:15:00,86.0,26,313500,94050
392,0:15:00,87.0,26,315000,94500
393,0:30:00,307.0,92,1113000,333900
394,0:30:00,361.0,108,1309500,392850
395,0:30:00,344.0,103,1246500,373950
399,0:30:00,89.0,27,322500,96750
411,0:10:00,161.0,48,583500,175050
412,0:15:00,102.0,31,370500,111150
414,0:30:00,182.0,55,661500,198450
415,0:30:00,123.0,37,153000,45900
416,0:15:00,95.0,29,204000,61200
417,0:30:00,377.0,113,283500,85050
418,0:10:00,347.0,104,133500,40050
419,0:15:00,43.0,13,154500,46350
421,0:30:00,83.0,25,300000,90000
431,0:30:00,217.0,65,789000,236700
432,0:30:00,145.0,44,526500,157950
433,0:30:00,217.0,65,789000,236700
434,1:00:00,210.0,63,760500,228150
436,1:00:00,105.0,32,381000,114300
437,1:00:00,93.0,28,339000,101700
438,0:30:00,71.0,21,258000,77400
445,0:45:00,153.0,46,556500,166950
451,0:30:00,68.0,20,232500,69750
452,0:30:00,93.0,28,339000,101700
453,0:45:00,94.0,28,342000,102600
455,0:15:00,72.0,22,261000,78300
457,0:15:00,220.0,66,796500,238950
458,0:15:00,78.0,23,283500,85050
511,1:00:00,210.0,63,760500,228150
512,1:00:00,419.0,126,1521000,456300
513,1:00:00,629.0,189,2281500,684450
514,1:00:00,839.0,252,3042000,912600
515,1:00:00,1048.0,314,3802500,1140750
