No,Treatment,Upsell,treatment_keywords,upsell_keywords,Predicted Upsell Treatment,Jaccard Score
1,Consultation,Comprehensive Oral Health Assessment,{'consultation'},"{'oral', 'health', 'assessment', 'comprehensive'}",Oral Health Index - Advance Hygiene (First Time) - Subscription (New Customer),0.18181818181818182
2,Consultation and TP presentation,Advanced Treatment Plan with Smile Simulation,"{'tp', 'presentation', 'consultation'}","{'simulation', 'treatment', 'advanced', 'plan', 'smile'}",Treatment Planning,0.16666666666666666
3,Treatment Planning,Premium Treatment Strategy Consultation,"{'planning', 'treatment'}","{'consultation', 'premium', 'treatment', 'strategy'}",Consultation,0.25
4,Quick clean - scalling,Quick Clean + Fluoride Protection,"{'scalling', 'clean', 'quick'}","{'fluoride', 'clean', 'quick', 'protection'}",Basic Clean,0.2
5,Routine Clean - dental checkup,Full Oral Cancer Screening with Dental Checkup,"{'routine', 'clean', 'dental', 'checkup'}","{'cancer', 'oral', 'dental', 'screening', 'checkup'}",Dental Implant & Crown,0.14285714285714285
6,Advanced Hygiene,Laser-Assisted Deep Cleaning,"{'hygiene', 'advanced'}","{'laserassisted', 'cleaning', 'deep'}",Deep Gum treatment,0.2
7,Basic Clean,Basic Clean + Whitening Treatment,"{'clean', 'basic'}","{'clean', 'basic', 'treatment', 'whitening'}",Treatment Planning,0.2
8,Prevention Seal,Lifetime Preventive Sealant Package,"{'prevention', 'seal'}","{'package', 'sealant', 'lifetime', 'preventive'}",RC Quick Package - Front,0.16666666666666666
9,Caries Xrays,Full Dental Diagnostic Imaging,"{'xrays', 'caries'}","{'diagnostic', 'imaging', 'dental'}",Dental Implant & Crown,0.2
10,Minor Fill front teeth,Cosmetic Composite Fillings,"{'minor', 'teeth'}","{'cosmetic', 'composite', 'fillings'}",,0.0
11,Minor Fill back teeth,High-Durability Composite Fillings,"{'minor', 'teeth'}","{'composite', 'fillings', 'highdurability'}",,0.0
12,Medium Fill Front teeth,Aesthetic White Fillings,"{'medium', 'teeth'}","{'aesthetic', 'fillings', 'white'}",Pearly white (Whitening kit ),0.16666666666666666
13,Medium Fill Back teeth, Premium Composite Fillings for Longevity,"{'medium', 'teeth'}","{'composite', 'premium', 'fillings', 'longevity'}",Premium Aligner (Difficult Level),0.14285714285714285
14,Major fill Front Teeth,Onlay or Inlay Restoration,"{'major', 'teeth'}","{'restoration', 'onlay', 'inlay'}",,0.0
15,Major fill Back Teeth,Onlay or Inlay with Porcelain Option,"{'major', 'teeth'}","{'porcelain', 'option', 'onlay', 'inlay'}",,0.0
16,Baby Tooth Extraction,Pediatric Care Package with Preventive Fluoride,"{'extraction', 'baby', 'tooth'}","{'pediatric', 'care', 'preventive', 'fluoride', 'package'}",RC Quick Package - Front,0.14285714285714285
17,Minor Extraction ,Painless Extraction with Sedation Option,"{'minor', 'extraction'}","{'sedation', 'option', 'painless', 'extraction'}",Medium Extraction ,0.2
18,Medium Extraction ,Comprehensive Surgical Extraction,"{'medium', 'extraction'}","{'surgical', 'comprehensive', 'extraction'}",Minor Extraction ,0.25
19,Major Extraction,Advanced Surgical Removal with Follow-Up,"{'major', 'extraction'}","{'removal', 'surgical', 'advanced', 'followup'}",Advanced Hygiene,0.2
