No,Treatment,Upsell
1,Consultation,Comprehensive Oral Health Assessment
2,Consultation and TP presentation,Advanced Treatment Plan with Smile Simulation
3,Treatment Planning,Premium Treatment Strategy Consultation
4,Quick clean - scalling,Quick Clean + Fluoride Protection
5,Routine Clean - dental checkup,Full Oral Cancer Screening with Dental Checkup
6,Advanced Hygiene,Laser-Assisted Deep Cleaning
7,Basic Clean,Basic Clean + Whitening Treatment
8,Prevention Seal,Lifetime Preventive Sealant Package
9,Caries Xrays,Full Dental Diagnostic Imaging
10,Minor Fill front teeth,Cosmetic Composite Fillings
11,Minor Fill back teeth,High-Durability Composite Fillings
12,Medium Fill Front teeth,Aesthetic White Fillings
13,Medium Fill Back teeth, Premium Composite Fillings for Longevity
14,Major fill Front Teeth,Onlay or Inlay Restoration
15,Major fill Back Teeth,Onlay or Inlay with Porcelain Option
16,Baby Tooth Extraction,Pediatric Care Package with Preventive Fluoride
17,Minor Extraction ,Painless Extraction with Sedation Option
18,Medium Extraction ,Comprehensive Surgical Extraction
19,Major Extraction,Advanced Surgical Removal with Follow-Up
20,Emergency,24/7 Emergency Dental Care Subscription
21,Root canal 1,Full Tooth Restoration Post Root Canal
22,Root canal 2,High-Precision Laser-Assisted Root Canal
23,Root canal 3,Comprehensive Root Canal Package with Crown
24,Root canal 4,Premium Root Canal Treatment with Follow-Up
25,Simple gum treatment,Simple Gum Treatment + Antibacterial Rinse
26,Simple gum treatment follow up,Gum Health Maintenance Plan
27,Deep Gum treatment,Deep Gum Cleaning + Laser-Assisted Therapy
28,Gingivectomy - per tooth,Cosmetic Gingivectomy Full-Mouth Package
29,Crown Lengthening - per tooth,Smile Enhancement with Cosmetic Crown Lengthening
30,Acute periodontal disease,Advanced Periodontal Disease Treatment Package
31,Deep Gum treatment With Laser (LAPT),Full Gum Restoration with Laser Follow-Ups
32,Sparkling smile (In & Out ),Sparkling Smile + Whitening Package
33,Pearly white (Whitening kit ),Complete Whitening System: In-Office + Take-Home Kit
34,Smile Fix,Full Smile Makeover with Veneers or Crowns
35,Refresh (New),Refresh + Whitening Treatment Package
36,Rejuvenate (New),Rejuvenate + Smile Correction
37,Lite Aligner ( Easy Level),Retainer Package After Lite Aligner
38,Basic Aligner (Medium Level),Smile Preview with Basic Aligner Treatment
39,Premium Aligner (Difficult Level),Comprehensive Orthodontic Care with Premium Aligner
40,Mouth Guard pro,Custom-Fit Mouthguard + Annual Replacement
41,Wear Protect - Occlusal Splint,Advanced Night Guard for TMJ Relief
42,Dental Implant & Crown,Full Dental Implant Package with Maintenance
43,Dental Implant & Crown + Bone graft,Complete Dental Implant Package with Lifetime Warranty
44,Bone Graft (GTR),Bone Grafting + Follow-Up Care
45,1 Crown,Premium Porcelain Crown Upgrade
46,2 Crown,Full-Arch Crown Restoration Package
47,3 Crown,Full-Arch Crown Restoration Package
48,4 Crown,Full-Arch Crown Restoration Package
49,5 Crown,Full-Arch Crown Restoration Package
50,6 Crown,Full-Arch Crown Restoration Package
51,7 Crown,Full-Arch Crown Restoration Package
52,8 Crown,Full-Arch Crown Restoration Package
53,9 Crown,Full-Arch Crown Restoration Package
54,3 Bridge treatment,Full-Arch Bridge Restoration Package
55,3 unit implant bridge,Extended Warranty for Implant Bridge
56,1 Crown Pediatric - front tooth,Pediatric Crown + Oral Hygiene Training
57,1 Crown Pediatric - Backtooth,Pediatric Crown + Oral Hygiene Training
58,Additional Bridge - Pontic ,Advanced Bridge Restoration with Warranty
